,Level_id,Agg_Level_1,Agg_Level_2,weight,scale
0,Level1,Total,X,1.0,34954574.68312102
1,Level2,CA,X,0.43375045669739665,7296701.918789809
2,Level2,TX,X,0.27936887057042226,3348514.812101911
3,Level2,WI,X,0.28688067273218104,3735075.025477707
4,Level3,CA_1,X,0.10909969887368604,750171.4957537155
5,Level3,CA_2,X,0.10234318017265515,563669.3036093418
6,Level3,CA_3,X,0.15798427031022708,921369.3041401274
7,Level3,CA_4,X,0.06432330734082504,100483.1974522293
8,Level3,TX_1,X,0.07918490716652014,356746.2988322718
9,Level3,TX_2,X,0.10125353684538735,583479.563163482
10,Level3,TX_3,X,0.09893042655851661,327078.69851380045
11,Level3,WI_1,X,0.08597230387409083,509842.13694267516
12,Level3,WI_2,X,0.11700788700895488,512924.9654989384
13,Level3,WI_3,X,0.08390048184913682,506963.5047770701
14,Level4,FOODS,X,0.5697013595866223,16352918.489384288
15,Level4,HOBBIES,X,0.1286691825266824,342626.46974522294
16,Level4,HOUSEHOLD,X,0.30162945788669526,2228166.7515923567
17,Level5,FOODS_1,X,0.06679376339348532,223083.8678343949
18,Level5,FOODS_2,X,0.15568057404478505,530528.432059448
19,Level5,FOODS_3,X,0.3472270221483504,9276179.849787686
20,Level5,HOBBIES_1,X,0.12279319718938818,308398.31422505307
21,Level5,HOBBIES_2,X,0.005875985337295712,3751.819002123142
22,Level5,HOUSEHOLD_1,X,0.22920122492980968,1454931.2335456475
23,Level5,HOUSEHOLD_2,X,0.07242823295688586,94543.6093418259
24,Level6,CA,FOODS,0.23734918823390436,3205336.99522293
25,Level6,CA,HOBBIES,0.05940489214679013,92806.97983014862
26,Level6,CA,HOUSEHOLD,0.1369963763166989,525164.4798301486
27,Level6,TX,FOODS,0.14769247085671894,1706683.6061571126
28,Level6,TX,HOBBIES,0.04142369697827113,31984.861995753716
29,Level6,TX,HOUSEHOLD,0.0902527027354341,211225.8025477707
30,Level6,WI,FOODS,0.1846597004959951,2059257.9071125265
31,Level6,WI,HOBBIES,0.027840593401623905,44864.86889596603
32,Level6,WI,HOUSEHOLD,0.07438037883456339,202022.8906581741
33,Level7,CA,FOODS_1,0.02861697419620655,60579.733545647556
34,Level7,CA,FOODS_2,0.05783260740735065,91314.27282377919
35,Level7,CA,FOODS_3,0.15089960663034688,1807183.2085987262
36,Level7,CA,HOBBIES_1,0.05696937369368352,85147.19267515924
37,Level7,CA,HOBBIES_2,0.002435518453106498,1118.5960721868364
38,Level7,CA,HOUSEHOLD_1,0.10094117462566875,319639.2494692144
39,Level7,CA,HOUSEHOLD_2,0.036055201691030124,30146.553078556262
40,Level7,TX,FOODS_1,0.01747896512876722,17971.23779193206
41,Level7,TX,FOODS_2,0.036102558153083476,58883.59447983015
42,Level7,TX,FOODS_3,0.09411094757486844,1041818.7770700637
43,Level7,TX,HOBBIES_1,0.03951390400512859,28560.05997876858
44,Level7,TX,HOBBIES_2,0.0019097929731424221,999.2945859872611
45,Level7,TX,HOUSEHOLD_1,0.07001299609952245,149287.20116772823
46,Level7,TX,HOUSEHOLD_2,0.020239706635911778,7950.884819532908
47,Level7,WI,FOODS_1,0.020697824068511877,25975.202229299364
48,Level7,WI,FOODS_2,0.06174540848435199,114905.90976645435
49,Level7,WI,FOODS_3,0.10221646794313159,1050750.585987261
50,Level7,WI,HOBBIES_1,0.026309919490577077,40617.606157112525
51,Level7,WI,HOBBIES_2,0.001530673911046782,603.1056263269639
52,Level7,WI,HOUSEHOLD_1,0.058247054204619134,146737.01645435244
53,Level7,WI,HOUSEHOLD_2,0.016133324629944313,5994.338110403397
54,Level8,CA_1,FOODS,0.060919054863669796,382991.7287685775
55,Level8,CA_1,HOBBIES,0.01783225066515808,15732.239384288747
56,Level8,CA_1,HOUSEHOLD,0.03034839334485822,36357.329087048834
57,Level8,CA_2,FOODS,0.056305496553075284,193860.61571125264
58,Level8,CA_2,HOBBIES,0.011799310767318058,11401.375796178343
59,Level8,CA_2,HOUSEHOLD,0.03423837285226185,66705.19426751592
60,Level8,CA_3,FOODS,0.08379824176298321,427521.7547770701
61,Level8,CA_3,HOBBIES,0.018898848708697243,14561.390658174098
62,Level8,CA_3,HOUSEHOLD,0.055287179838546446,73151.29564755839
63,Level8,CA_4,FOODS,0.03632639505417605,53704.06794055202
64,Level8,CA_4,HOBBIES,0.010874482005616639,6204.8954352441615
65,Level8,CA_4,HOUSEHOLD,0.017122430281032528,4501.614118895966
66,Level8,TX_1,FOODS,0.04134614183673439,178762.74946921444
67,Level8,TX_1,HOBBIES,0.00932198778212012,5141.176220806794
68,Level8,TX_1,HOUSEHOLD,0.02851677754766569,26996.160828025477
69,Level8,TX_2,FOODS,0.054376485990423565,302568.16507431
70,Level8,TX_2,HOBBIES,0.014670100529436991,7998.475053078556
71,Level8,TX_2,HOUSEHOLD,0.032206950325526736,36639.859341825904
72,Level8,TX_3,FOODS,0.05196984302956115,172631.1406581741
73,Level8,TX_3,HOBBIES,0.01743160866671385,5213.868895966029
74,Level8,TX_3,HOUSEHOLD,0.029528974862241646,22997.832271762207
75,Level8,WI_1,FOODS,0.05298296248287276,221873.47133757963
76,Level8,WI_1,HOBBIES,0.011770192463395064,16093.212845010616
77,Level8,WI_1,HOUSEHOLD,0.021219148927823058,25440.35721868365
78,Level8,WI_2,FOODS,0.07740217836342429,352958.9331210191
79,Level8,WI_2,HOBBIES,0.008732130008488121,3933.7234607218684
80,Level8,WI_2,HOUSEHOLD,0.030873578637042227,33991.06050955414
81,Level8,WI_3,FOODS,0.05427455964969809,318741.6533970276
82,Level8,WI_3,HOBBIES,0.007338270929740616,5576.791401273886
83,Level8,WI_3,HOUSEHOLD,0.022287651269698047,23830.843418259024
84,Level9,CA_1,FOODS_1,0.0057266861651901965,5829.255838641189
85,Level9,CA_1,FOODS_2,0.014965681461098602,11688.188959660298
86,Level9,CA_1,FOODS_3,0.04022668723738105,232702.50796178344
87,Level9,CA_1,HOBBIES_1,0.01717538778102772,14916.642250530786
88,Level9,CA_1,HOBBIES_2,0.0006568628841303265,215.7351380042463
89,Level9,CA_1,HOUSEHOLD_1,0.022169996734264775,23343.369957537154
90,Level9,CA_1,HOUSEHOLD_2,0.008178396610593415,2156.441082802548
91,Level9,CA_2,FOODS_1,0.009543944938866919,10077.634819532908
92,Level9,CA_2,FOODS_2,0.013265565921480175,4109.7335456475585
93,Level9,CA_2,FOODS_3,0.03349598569272831,102763.58174097665
94,Level9,CA_2,HOBBIES_1,0.011159474711144547,10354.52813163482
95,Level9,CA_2,HOBBIES_2,0.0006398360561734829,250.1183651804671
96,Level9,CA_2,HOUSEHOLD_1,0.02359466561402439,36794.90923566879
97,Level9,CA_2,HOUSEHOLD_2,0.010643707238237436,5437.897558386412
98,Level9,CA_3,FOODS_1,0.008895585919941124,8817.065817409766
99,Level9,CA_3,FOODS_2,0.019737970404180995,15873.56050955414
100,Level9,CA_3,FOODS_3,0.055164685438861195,248418.3949044586
101,Level9,CA_3,HOBBIES_1,0.018035923284015633,13899.012208067941
102,Level9,CA_3,HOBBIES_2,0.0008629254246815816,282.0514861995754
103,Level9,CA_3,HOUSEHOLD_1,0.04293531426485382,50330.50530785562
104,Level9,CA_3,HOUSEHOLD_2,0.012351865573692555,3583.6852441613587
105,Level9,CA_4,FOODS_1,0.004450757172208202,1671.0159235668789
106,Level9,CA_4,FOODS_2,0.009863389620590822,3821.19957537155
107,Level9,CA_4,FOODS_3,0.022012248261377005,28893.691082802547
108,Level9,CA_4,HOBBIES_1,0.01059858791749552,6061.461252653928
109,Level9,CA_4,HOBBIES_2,0.00027589408812109435,67.31439192777482
110,Level9,CA_4,HOUSEHOLD_1,0.012241198012525862,2915.718683651805
111,Level9,CA_4,HOUSEHOLD_2,0.0048812322685066354,583.7223991507431
112,Level9,TX_1,FOODS_1,0.004763891478501209,2446.5727176220807
113,Level9,TX_1,FOODS_2,0.009909572947566218,7451.1438428874735
114,Level9,TX_1,FOODS_3,0.026672677410666954,109025.74097664544
115,Level9,TX_1,HOBBIES_1,0.008837324758105143,4765.548832271762
116,Level9,TX_1,HOBBIES_2,0.00048466302401495336,146.69957537154988
117,Level9,TX_1,HOUSEHOLD_1,0.021743848596649167,19536.18949044586
118,Level9,TX_1,HOUSEHOLD_2,0.006772928951016503,1448.935244161359
119,Level9,TX_2,FOODS_1,0.005639996939372426,4343.291932059448
120,Level9,TX_2,FOODS_2,0.012248037662852367,10177.89702760085
121,Level9,TX_2,FOODS_3,0.036488451388198805,185948.07059447982
122,Level9,TX_2,HOBBIES_1,0.013884719333407413,7053.511677282378
123,Level9,TX_2,HOBBIES_2,0.0007853811960295451,395.3328025477707
124,Level9,TX_2,HOUSEHOLD_1,0.024842035588411252,26077.19904458599
125,Level9,TX_2,HOUSEHOLD_2,0.007364914737115465,1679.2038216560509
126,Level9,TX_3,FOODS_1,0.007075076710893511,3280.9601910828023
127,Level9,TX_3,FOODS_2,0.013944947542664789,8213.101380042463
128,Level9,TX_3,FOODS_3,0.030949818776002915,105882.20116772824
129,Level9,TX_3,HOBBIES_1,0.016791859913615904,4835.544055201699
130,Level9,TX_3,HOBBIES_2,0.0006397487530979152,275.59978768577497
131,Level9,TX_3,HOUSEHOLD_1,0.02342711191446189,17104.339171974523
132,Level9,TX_3,HOUSEHOLD_2,0.0061018629477797275,903.6778131634819
